,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,15
1,2,997,3,0,16
2,3,992,8,0,0
3,4,992,8,0,16
4,5,989,11,0,17
5,6,985,13,2,61
6,7,979,15,6,32
7,8,974,18,8,36
8,9,968,21,11,30
9,10,961,23,16,61
10,11,952,27,21,65
11,12,938,36,26,63
12,13,931,41,28,38
13,14,928,35,37,23
14,15,925,26,49,18
15,16,924,21,55,41
16,17,916,21,63,36
17,18,910,21,69,31
18,19,906,21,73,77
19,20,894,27,79,35
20,21,890,26,84,31
21,22,883,29,88,47
22,23,873,33,94,15
23,24,871,30,99,22
24,25,867,29,104,4
25,26,866,22,112,17
26,27,863,15,122,18
27,28,859,16,125,7
28,29,858,13,129,17
29,30,855,11,134,19
30,31,850,13,137,45
31,32,845,15,140,19
32,33,843,16,141,22
33,34,839,17,144,0
34,35,839,16,145,54
35,36,830,18,152,14
36,37,829,15,156,11
37,38,828,13,159,0
38,39,828,9,163,7
39,40,826,5,169,0
40,41,826,4,170,0
41,42,826,2,172,0
42,43,826,2,172,0
43,44,826,1,173,0
44,45,826,1,173,0
45,46,826,1,173,0
46,47,826,0,174,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,15
2,3,996,4,0,0
3,4,996,3,1,0
4,5,996,3,1,0
5,6,996,2,2,20
6,7,990,8,2,19
7,8,987,9,4,51
8,9,983,13,4,12
9,10,981,14,5,11
10,11,978,16,6,12
11,12,977,14,9,28
12,13,970,15,15,17
13,14,967,17,16,31
14,15,961,21,18,29
15,16,953,25,22,39
16,17,945,29,26,51
17,18,938,31,31,28
18,19,934,30,36,21
