,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,15
7,8,997,3,0,20
8,9,989,11,0,46
9,10,973,26,1,23
10,11,970,28,2,91
11,12,951,43,6,90
12,13,939,50,11,80
13,14,928,51,21,120
14,15,916,54,30,72
15,16,905,52,43,74
16,17,895,49,56,45
17,18,886,43,71,79
18,19,875,48,77,45
19,20,868,38,94,36
20,21,862,34,104,64
21,22,852,34,114,18
22,23,849,28,123,41
23,24,841,31,128,24
24,25,831,32,137,52
25,26,820,36,144,4
26,27,818,33,149,26
27,28,811,33,156,40
28,29,803,30,167,6
29,30,802,25,173,17
30,31,792,29,179,25
31,32,787,24,189,21
32,33,782,26,192,15
33,34,778,23,199,28
34,35,773,25,202,21
35,36,767,24,209,13
36,37,764,21,215,3
37,38,762,16,222,8
38,39,759,16,225,12
39,40,753,18,229,4
40,41,751,15,234,6
41,42,749,14,237,4
42,43,746,15,239,1
43,44,745,11,244,8
44,45,741,12,247,13
45,46,738,12,250,24
46,47,733,12,255,9
47,48,729,13,258,18
48,49,726,15,259,19
49,50,720,18,262,14
50,51,716,19,265,9
51,52,713,18,269,7
52,53,711,16,273,13
53,54,707,16,277,3
54,55,706,15,279,1
55,56,706,12,282,0
56,57,706,9,285,9
57,58,703,9,288,0
58,59,703,7,290,4
59,60,703,6,291,18
60,61,699,6,295,0
61,62,699,6,295,4
62,63,697,6,297,12
63,64,694,8,298,5
64,65,693,8,299,8
65,66,689,11,300,8
66,67,686,13,301,8
67,68,685,10,305,0
68,69,685,8,307,0
69,70,685,7,308,0
70,71,685,4,311,0
71,72,685,2,313,0
72,73,685,0,315,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
