,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,34
3,4,969,31,0,195
4,5,940,60,0,463
5,6,917,83,0,224
6,7,903,85,12,224
7,8,893,72,35,248
8,9,879,72,49,180
9,10,867,61,72,109
10,11,860,51,89,159
11,12,845,54,101,121
12,13,833,53,114,117
13,14,826,47,127,79
14,15,817,47,136,81
15,16,804,47,149,88
16,17,793,49,158,68
17,18,785,48,167,151
18,19,773,51,176,84
19,20,767,44,189,74
20,21,759,34,207,50
21,22,751,41,208,59
22,23,746,32,222,59
23,24,739,31,230,7
24,25,737,24,239,35
25,26,732,22,246,14
26,27,728,21,251,23
27,28,722,21,257,26
28,29,710,24,266,89
29,30,700,33,267,76
30,31,693,35,272,45
31,32,684,40,276,32
32,33,677,37,286,72
33,34,669,37,294,46
34,35,662,37,301,46
35,36,655,36,309,52
36,37,651,30,319,27
37,38,647,26,327,10
38,39,643,23,334,30
39,40,637,25,338,6
40,41,636,21,343,9
41,42,633,21,346,27
42,43,628,16,356,30
43,44,623,19,358,3
44,45,622,17,361,12
45,46,619,18,363,29
46,47,611,20,369,26
47,48,604,22,374,44
48,49,597,26,377,9
49,50,595,23,382,10
50,51,591,21,388,2
51,52,590,13,397,1
52,53,590,13,397,1
53,54,589,8,403,8
54,55,585,9,406,5
55,56,583,9,408,22
56,57,576,14,410,24
57,58,572,16,412,19
58,59,567,20,413,14
59,60,562,23,415,16
60,61,559,21,420,15
61,62,556,21,423,21
62,63,550,21,429,6
63,64,547,18,435,5
64,65,546,17,437,7
65,66,544,16,440,0
66,67,544,10,446,0
67,68,544,5,451,4
68,69,541,5,454,1
69,70,540,6,454,3
70,71,538,7,455,5
71,72,535,9,456,3
72,73,532,11,457,3
73,74,531,11,458,10
74,75,529,11,460,0
75,76,529,9,462,12
76,77,523,15,462,4
77,78,522,13,465,15
78,79,517,12,471,2
79,80,515,12,473,6
80,81,513,12,475,10
81,82,511,9,480,12
82,83,508,9,483,4
83,84,507,7,486,6
84,85,504,7,489,3
85,86,503,8,489,3
86,87,502,6,492,0
87,88,502,5,493,0
88,89,502,4,494,0
89,90,502,3,495,4
90,91,498,6,496,0
91,92,498,4,498,2
92,93,496,6,498,10
93,94,490,11,499,19
94,95,485,15,500,1
95,96,485,14,501,4
96,97,483,12,505,1
97,98,482,10,508,8
98,99,478,13,509,1
99,100,478,9,513,0
100,101,478,8,514,9
101,102,475,8,517,10
102,103,472,9,519,6
103,104,470,9,521,1
104,105,469,10,521,8
105,106,465,9,526,6
106,107,462,11,527,10
107,108,458,14,528,2
108,109,457,12,531,2
109,110,456,10,534,1
110,111,455,8,537,4
111,112,451,8,541,6
112,113,447,11,542,0
113,114,447,8,545,3
114,115,447,6,547,0
115,116,447,3,550,0
116,117,447,0,553,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,48
4,5,959,40,1,268
5,6,930,69,1,328
6,7,912,87,1,67
7,8,904,86,10,200
8,9,884,80,36,80
9,10,878,65,57,147
10,11,865,61,74,113
11,12,851,61,88,161
12,13,840,57,103,116
13,14,829,59,112,91
14,15,818,54,128,49
15,16,811,52,137,109
16,17,802,51,147,36
17,18,798,42,160,89
18,19,785,42,173,18
19,20,780,33,187,53
20,21,771,36,193,40
21,22,760,41,199,43
22,23,754,35,211,79
23,24,745,36,219,75
24,25,734,41,225,33
25,26,729,41,230,55
26,27,722,37,241,41
27,28,718,30,252,28
28,29,711,26,263,73
29,30,701,32,267,42
30,31,697,30,273,62
31,32,688,31,281,34
32,33,683,27,290,18
33,34,679,24,297,21
