,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,27
4,5,991,9,0,113
5,6,962,38,0,180
6,7,939,61,0,304
7,8,918,75,7,184
8,9,908,77,15,305
9,10,883,80,37,272
10,11,869,76,55,175
11,12,857,72,71,137
12,13,846,63,91,232
13,14,828,69,103,86
14,15,820,66,114,113
15,16,808,64,128,128
16,17,796,54,150,34
17,18,791,50,159,25
18,19,788,34,178,28
19,20,783,31,186,48
20,21,775,24,201,25
21,22,770,24,206,11
22,23,765,24,211,25
23,24,760,23,217,23
24,25,757,21,222,44
25,26,750,21,229,22
26,27,745,19,236,62
27,28,732,31,237,12
28,29,730,28,242,33
29,30,724,29,247,23
30,31,718,29,253,36
31,32,709,28,263,20
32,33,705,26,269,9
33,34,704,20,276,23
34,35,700,22,278,47
35,36,693,22,285,25
36,37,689,23,288,10
37,38,686,21,293,6
38,39,685,13,302,5
39,40,684,10,306,10
40,41,680,14,306,12
41,42,677,11,312,28
42,43,672,14,314,34
43,44,666,16,318,8
44,45,665,16,319,22
45,46,659,18,323,40
46,47,653,20,327,9
47,48,650,18,332,22
48,49,647,17,336,12
49,50,643,18,339,41
50,51,637,16,347,25
51,52,628,23,349,8
52,53,627,21,352,30
53,54,623,21,356,16
54,55,621,19,360,18
55,56,617,16,367,8
56,57,614,15,371,42
57,58,607,21,372,32
58,59,602,21,377,17
59,60,600,18,382,44
60,61,591,24,385,13
61,62,589,22,389,16
62,63,587,20,393,46
63,64,579,21,400,7
64,65,577,15,408,29
65,66,573,17,410,35
66,67,565,21,414,29
67,68,561,22,417,16
68,69,558,21,421,13
69,70,555,23,422,3
70,71,554,18,428,0
71,72,554,10,436,1
72,73,554,6,440,3
73,74,553,5,442,8
74,75,548,10,442,11
75,76,545,11,444,12
76,77,542,13,445,16
77,78,539,14,447,9
78,79,536,14,450,3
79,80,533,12,455,16
80,81,530,14,456,5
81,82,529,12,459,4
82,83,528,9,463,2
83,84,527,6,467,2
84,85,526,5,469,5
85,86,524,6,470,3
86,87,523,5,472,0
87,88,523,5,472,0
88,89,523,2,475,0
89,90,523,1,476,0
90,91,523,0,477,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,6
4,5,997,3,0,0
