,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,48
5,6,968,32,0,583
6,7,916,83,1,679
7,8,892,107,1,824
8,9,870,119,11,670
9,10,847,111,42,211
10,11,838,96,66,348
11,12,825,85,90,156
12,13,814,72,114,177
13,14,801,63,136,187
14,15,791,52,157,134
15,16,778,52,170,82
16,17,771,50,179,154
17,18,760,50,190,121
18,19,750,48,202,146
19,20,739,47,214,71
20,21,732,44,224,57
21,22,727,40,233,70
22,23,720,34,246,120
23,24,709,36,255,46
24,25,704,34,262,98
25,26,697,32,271,21
26,27,694,27,279,76
27,28,686,30,284,2
28,29,685,25,290,72
29,30,676,26,298,29
30,31,671,24,305,37
31,32,663,28,309,64
32,33,652,35,313,26
33,34,648,35,317,30
34,35,645,30,325,35
35,36,638,29,333,31
36,37,634,26,340,33
37,38,625,31,344,33
38,39,620,27,353,36
39,40,615,25,360,7
40,41,613,20,367,42
41,42,608,19,373,4
42,43,606,15,379,26
43,44,600,17,383,28
44,45,597,18,385,25
45,46,593,16,391,22
46,47,590,17,393,12
47,48,586,16,398,21
48,49,581,20,399,37
49,50,575,22,403,44
50,51,571,22,407,4
51,52,570,19,411,15
52,53,566,21,413,13
53,54,563,16,421,11
54,55,561,13,426,13
55,56,557,13,430,22
56,57,553,14,433,14
57,58,546,16,438,14
58,59,543,18,439,19
59,60,539,18,443,14
60,61,537,17,446,16
61,62,535,15,450,17
62,63,531,16,453,5
63,64,530,11,459,6
64,65,528,11,461,2
65,66,527,10,463,8
66,67,524,9,467,0
67,68,524,6,470,4
68,69,522,8,470,4
69,70,521,7,472,7
70,71,518,8,474,16
