,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,67
1,2,992,8,0,202
2,3,973,27,0,554
3,4,943,57,0,699
4,5,914,86,0,697
5,6,891,102,7,471
6,7,874,100,26,385
7,8,858,92,50,217
8,9,848,78,74,170
9,10,840,65,95,141
10,11,832,51,117,88
11,12,827,43,130,181
12,13,818,39,143,150
13,14,810,36,154,42
14,15,806,32,162,86
15,16,802,23,175,81
16,17,795,28,177,46
17,18,788,29,183,154
18,19,777,34,189,53
19,20,771,33,196,132
20,21,763,33,204,134
21,22,755,33,212,101
22,23,750,31,219,143
23,24,739,37,224,131
24,25,730,37,233,180
25,26,720,38,242,134
26,27,712,37,251,190
27,28,700,44,256,34
28,29,698,38,264,37
29,30,697,30,273,66
30,31,691,31,278,63
31,32,687,23,290,52
32,33,683,23,294,43
33,34,678,20,302,16
34,35,677,15,308,28
35,36,675,12,313,43
36,37,674,8,318,21
37,38,673,9,318,26
38,39,671,9,320,32
39,40,667,9,324,35
40,41,666,10,324,15
41,42,664,11,325,44
42,43,659,16,325,73
43,44,654,17,329,64
44,45,645,23,332,40
45,46,640,22,338,38
46,47,637,23,340,18
47,48,635,20,345,16
48,49,632,16,352,28
49,50,629,13,358,21
50,51,627,11,362,30
51,52,626,10,364,40
52,53,624,9,367,25
53,54,620,9,371,17
54,55,619,9,372,12
55,56,618,10,372,20
56,57,617,8,375,35
57,58,613,7,380,17
