,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,21
1,2,995,5,0,17
2,3,994,6,0,99
3,4,985,15,0,136
4,5,972,26,2,80
5,6,965,31,4,147
6,7,952,39,9,149
7,8,939,44,17,249
8,9,924,52,24,206
9,10,911,57,32,173
10,11,901,57,42,236
11,12,890,53,57,67
12,13,887,40,73,174
13,14,877,39,84,102
14,15,870,34,96,96
15,16,866,30,104,87
16,17,863,27,110,26
17,18,859,23,118,109
18,19,848,25,127,90
19,20,840,29,131,51
20,21,836,27,137,79
21,22,831,27,142,53
22,23,826,26,148,109
23,24,819,27,154,78
24,25,812,25,163,68
25,26,807,26,167,30
26,27,806,22,172,37
27,28,801,22,177,33
28,29,798,15,187,54
29,30,793,17,190,44
30,31,789,17,194,16
31,32,788,13,199,73
32,33,786,12,202,58
33,34,782,13,205,68
34,35,780,12,208,22
35,36,779,10,211,7
36,37,778,8,214,30
37,38,776,9,215,66
38,39,768,15,217,42
39,40,765,16,219,27
40,41,764,15,221,56
41,42,760,15,225,34
42,43,753,18,229,42
43,44,749,19,232,40
44,45,744,21,235,57
45,46,739,22,239,37
46,47,735,18,247,36
47,48,731,18,251,18
48,49,729,16,255,52
49,50,728,16,256,82
50,51,721,20,259,112
51,52,707,27,266,51
52,53,701,31,268,74
53,54,694,34,272,28
54,55,692,29,279,26
55,56,689,28,283,57
56,57,684,19,297,19
57,58,682,18,300,14
58,59,679,17,304,4
59,60,679,10,311,16
60,61,677,8,315,19
61,62,676,6,318,45
62,63,674,7,319,20
63,64,672,9,319,24
64,65,672,8,320,16
65,66,672,2,326,0
66,67,672,2,326,14
67,68,672,1,327,0
68,69,672,0,328,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,46
3,4,991,9,0,97
4,5,982,17,1,88
5,6,970,29,1,148
6,7,960,37,3,124
7,8,950,40,10,198
8,9,937,49,14,161
9,10,927,49,24,233
10,11,912,50,38,414
11,12,891,61,48,195
12,13,881,61,58,308
13,14,867,60,73,306
14,15,854,63,83,106
15,16,846,56,98,163
16,17,834,54,112,76
17,18,829,47,124,57
18,19,826,37,137,58
19,20,818,36,146,47
20,21,813,29,158,43
21,22,810,23,167,53
22,23,806,20,174,5
23,24,806,14,180,12
24,25,805,11,184,36
25,26,801,9,190,36
26,27,798,10,192,16
27,28,798,9,193,0
28,29,798,8,194,28
29,30,794,9,197,17
30,31,792,10,198,60
31,32,786,14,200,40
32,33,781,17,202,52
