,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,92
1,2,972,28,0,1274
2,3,892,108,0,1348
3,4,864,135,1,1364
4,5,839,152,9,1034
5,6,822,149,29,659
6,7,808,120,72,321
7,8,799,92,109,523
8,9,781,80,139,238
9,10,773,65,162,142
10,11,767,50,183,200
11,12,757,38,205,78
12,13,750,40,210,75
13,14,746,37,217,139
14,15,736,36,228,78
15,16,728,32,240,63
16,17,722,33,245,131
17,18,711,35,254,12
18,19,709,31,260,82
19,20,702,31,267,72
20,21,693,31,276,53
21,22,689,24,287,114
22,23,678,31,291,66
23,24,674,31,295,63
24,25,669,27,304,62
25,26,664,26,310,95
26,27,657,27,316,38
27,28,653,28,319,27
28,29,651,22,327,50
29,30,645,19,336,67
30,31,639,22,339,38
31,32,636,22,342,28
32,33,634,17,349,21
33,34,632,15,353,22
34,35,629,13,358,5
35,36,628,11,361,36
36,37,622,13,365,25
37,38,619,12,369,51
38,39,608,21,371,45
39,40,604,23,373,40
40,41,597,27,376,37
41,42,594,23,383,27
42,43,589,25,386,71
43,44,582,27,391,60
44,45,577,26,397,37
45,46,572,25,403,25
46,47,568,24,408,15
47,48,566,21,413,30
48,49,561,19,420,20
49,50,558,16,426,51
50,51,552,20,428,11
51,52,551,18,431,9
52,53,550,14,436,8
53,54,549,9,442,10
54,55,545,11,444,8
55,56,543,9,448,11
56,57,542,10,448,8
57,58,539,11,450,22
58,59,535,9,456,3
59,60,534,9,457,3
60,61,533,9,458,9
61,62,532,6,462,1
62,63,532,3,465,8
63,64,529,5,466,15
64,65,526,8,466,5
65,66,524,8,468,7
66,67,522,9,469,4
67,68,521,7,472,2
68,69,521,6,473,8
69,70,520,6,474,14
70,71,515,10,475,23
71,72,510,12,478,28
72,73,505,16,479,26
73,74,501,18,481,13
74,75,499,15,486,19
75,76,498,12,490,30
76,77,493,12,495,41
77,78,486,14,500,10
78,79,484,16,500,4
79,80,483,13,504,43
80,81,476,16,508,5
81,82,475,14,511,13
82,83,473,14,513,33
83,84,468,14,518,8
84,85,466,13,521,9
85,86,464,11,525,16
86,87,460,12,528,21
87,88,457,13,530,9
88,89,454,15,531,6
89,90,453,12,535,11
90,91,451,12,537,12
91,92,449,7,544,6
92,93,449,4,547,0
93,94,449,4,547,11
94,95,445,7,548,14
95,96,440,11,549,8
96,97,438,13,549,9
97,98,436,12,552,15
98,99,433,12,555,34
99,100,427,17,556,12
100,101,425,16,559,8
101,102,424,15,561,28
102,103,420,17,563,4
103,104,419,11,570,5
104,105,418,10,572,3
105,106,417,9,574,1
106,107,417,6,577,1
107,108,417,3,580,2
108,109,416,2,582,1
109,110,415,3,582,0
110,111,415,3,582,4
111,112,415,3,582,0
112,113,415,2,583,0
113,114,415,2,583,7
114,115,411,5,584,13
115,116,407,9,584,33
116,117,400,15,585,16
117,118,399,15,586,23
118,119,394,18,588,0
119,120,394,14,592,25
120,121,390,14,596,8
121,122,388,10,602,8
122,123,386,11,603,9
123,124,384,9,607,2
124,125,384,8,608,1
125,126,384,7,609,4
126,127,383,5,612,7
127,128,381,4,615,6
128,129,380,4,616,5
129,130,376,8,616,8
130,131,375,6,619,12
131,132,374,6,620,15
132,133,369,8,623,1
133,134,369,8,623,0
134,135,369,8,623,1
135,136,369,4,627,6
136,137,366,7,627,3
137,138,365,7,628,5
138,139,364,6,630,9
139,140,364,5,631,6
