,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,20
3,4,988,12,0,47
4,5,970,30,0,125
5,6,954,45,1,13
6,7,943,50,7,64
7,8,930,54,16,47
8,9,920,48,32,78
9,10,907,53,40,112
10,11,890,55,55,33
11,12,883,52,65,38
12,13,871,51,78,20
13,14,866,39,95,43
14,15,857,38,105,8
15,16,854,30,116,47
16,17,844,30,126,26
17,18,835,35,130,35
18,19,828,38,134,30
19,20,821,38,141,20
20,21,817,31,152,2
21,22,815,25,160,14
22,23,808,20,172,24
23,24,800,22,178,11
24,25,797,21,182,10
25,26,793,19,188,3
26,27,792,16,192,13
27,28,786,17,197,13
28,29,782,17,201,8
29,30,779,19,202,7
30,31,773,19,208,16
31,32,766,22,212,19
32,33,760,23,217,29
33,34,750,30,220,39
34,35,743,32,225,17
35,36,737,33,230,24
36,37,732,32,236,23
37,38,726,28,246,7
38,39,721,29,250,14
39,40,716,25,259,40
40,41,708,27,265,5
41,42,706,24,270,0
42,43,706,18,276,0
43,44,706,11,283,5
44,45,701,12,287,14
45,46,696,16,288,0
46,47,696,14,290,10
47,48,693,14,293,7
48,49,689,10,301,0
49,50,689,9,302,4
50,51,688,8,304,0
51,52,688,6,306,4
52,53,685,5,310,12
53,54,680,10,310,13
54,55,677,12,311,2
55,56,675,12,313,6
56,57,672,10,318,2
57,58,671,7,322,2
58,59,669,8,323,0
59,60,669,7,324,1
60,61,668,4,328,0
61,62,668,3,329,4
62,63,664,5,331,0
63,64,664,5,331,2
64,65,663,6,331,4
65,66,659,6,335,7
66,67,656,8,336,2
67,68,654,10,336,3
68,69,651,13,336,5
69,70,646,16,338,10
70,71,642,17,341,4
71,72,640,15,345,0
72,73,640,10,350,0
73,74,640,8,352,2
74,75,639,7,354,0
75,76,639,4,357,0
76,77,639,3,358,0
77,78,639,3,358,7
78,79,632,9,359,0
79,80,632,9,359,0
80,81,632,7,361,9
81,82,628,10,362,5
82,83,624,11,365,13
83,84,614,20,366,7
84,85,611,21,368,2
85,86,609,20,371,4
86,87,607,16,377,5
87,88,605,16,379,4
88,89,602,17,381,3
89,90,600,16,384,5
90,91,598,14,388,0
91,92,598,9,393,1
92,93,597,5,398,0
93,94,597,4,399,5
94,95,594,5,401,5
95,96,591,7,402,3
96,97,588,10,402,4
97,98,585,12,403,1
