,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,41
2,3,962,38,0,209
3,4,937,63,0,352
4,5,918,82,0,124
5,6,912,75,13,244
6,7,897,71,32,77
7,8,891,58,51,86
8,9,881,47,72,162
9,10,868,51,81,118
10,11,856,49,95,126
11,12,843,52,105,77
12,13,831,55,114,116
13,14,822,54,124,47
14,15,816,49,135,5
15,16,815,34,151,55
16,17,803,37,160,36
17,18,796,32,172,36
18,19,790,30,180,70
19,20,779,32,189,48
20,21,771,37,192,32
21,22,765,31,204,121
22,23,753,37,210,78
23,24,745,38,217,24
24,25,742,35,223,44
25,26,736,29,235,25
26,27,730,25,245,35
27,28,724,24,252,26
28,29,719,23,258,22
29,30,715,21,264,19
30,31,707,23,270,20
31,32,703,24,273,25
32,33,698,25,277,74
33,34,688,28,284,10
34,35,684,27,289,11
35,36,680,25,295,6
36,37,677,19,304,16
37,38,674,18,308,37
38,39,666,19,315,26
39,40,661,20,319,6
40,41,660,19,321,7
41,42,656,18,326,14
42,43,652,17,331,5
43,44,650,18,332,17
44,45,645,17,338,29
45,46,639,19,342,5
46,47,636,19,345,8
47,48,632,19,349,7
48,49,629,17,354,8
49,50,625,14,361,16
50,51,620,15,365,9
51,52,617,16,367,36
52,53,612,17,371,16
53,54,609,15,376,5
54,55,605,17,378,10
55,56,603,18,379,2
56,57,602,11,387,19
57,58,592,16,392,9
58,59,589,16,395,9
59,60,586,17,397,9
60,61,583,16,401,5
61,62,578,18,404,14
62,63,574,18,408,14
63,64,570,19,411,5
64,65,569,16,415,2
65,66,567,13,420,6
66,67,565,11,424,8
67,68,563,10,427,4
68,69,561,8,431,8
69,70,556,13,431,8
70,71,554,12,434,14
71,72,549,14,437,19
72,73,544,18,438,9
73,74,541,18,441,9
74,75,538,16,446,7
75,76,536,14,450,6
76,77,534,11,455,8
77,78,532,11,457,19
78,79,528,10,462,5
79,80,526,10,464,2
80,81,524,10,466,4
81,82,520,11,469,16
82,83,516,14,470,2
83,84,515,14,471,1
84,85,514,12,474,5
85,86,512,10,478,4
86,87,508,10,482,6
87,88,504,12,484,3
88,89,503,13,484,3
89,90,501,12,487,4
90,91,498,14,488,0
91,92,498,11,491,4
92,93,496,9,495,1
93,94,495,5,500,1
94,95,494,6,500,0
95,96,494,5,501,0
96,97,494,1,505,0
97,98,494,1,505,0
98,99,494,0,506,0
0,1,999,1,0,0
