,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,74
5,6,954,46,0,824
6,7,914,85,1,895
7,8,884,115,1,895
8,9,865,121,14,856
9,10,842,117,41,633
10,11,827,99,74,480
11,12,810,92,98,232
12,13,799,77,124,264
13,14,786,67,147,268
14,15,775,60,165,135
15,16,769,51,180,210
16,17,759,49,192,95
17,18,754,45,201,64
18,19,750,37,213,38
19,20,747,32,221,119
20,21,735,35,230,25
21,22,733,26,241,63
22,23,727,29,244,31
23,24,723,25,252,16
24,25,721,23,256,36
25,26,714,23,263,53
26,27,705,26,269,61
27,28,699,27,274,65
28,29,692,28,280,21
29,30,689,23,288,86
30,31,678,26,296,45
31,32,672,29,299,73
32,33,665,33,302,84
33,34,657,33,310,22
34,35,654,28,318,67
35,36,646,28,326,48
36,37,641,27,332,31
37,38,634,29,337,16
38,39,631,22,347,42
39,40,626,24,350,7
40,41,625,22,353,12
41,42,623,16,361,19
42,43,618,13,369,6
43,44,616,15,369,32
44,45,608,18,374,12
45,46,606,17,377,17
46,47,602,18,380,1
47,48,602,13,385,5
48,49,600,10,390,15
49,50,597,11,392,23
50,51,593,11,396,16
51,52,587,15,398,18
52,53,584,17,399,0
53,54,584,14,402,4
54,55,583,10,407,12
55,56,580,12,408,4
56,57,579,11,410,4
57,58,577,9,414,22
58,59,572,11,417,5
59,60,571,8,421,0
60,61,571,8,421,11
61,62,568,10,422,12
62,63,566,10,424,5
63,64,565,7,428,14
64,65,562,8,430,13
65,66,559,8,433,8
66,67,555,11,434,11
67,68,550,14,436,28
68,69,545,15,440,24
69,70,542,16,442,35
70,71,536,17,447,10
71,72,534,17,449,24
72,73,531,16,453,47
73,74,525,16,459,18
74,75,522,18,460,9
75,76,521,13,466,0
76,77,521,9,470,0
77,78,521,6,473,11
78,79,515,9,476,7
79,80,513,9,478,10
80,81,511,11,478,19
81,82,508,11,481,8
82,83,506,10,484,11
83,84,503,10,487,1
84,85,502,9,489,3
85,86,501,9,490,2
86,87,500,7,493,5
87,88,497,7,496,3
88,89,496,8,496,0
89,90,496,7,497,3
90,91,495,5,500,8
91,92,492,7,501,15
92,93,488,9,503,7
93,94,487,9,504,24
