,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,6
1,2,993,7,0,54
2,3,966,34,0,38
3,4,957,43,0,113
4,5,941,56,3,26
5,6,935,52,13,48
6,7,926,53,21,47
7,8,916,51,33,96
8,9,903,50,47,53
9,10,894,48,58,51
10,11,886,47,67,15
11,12,880,41,79,38
12,13,873,42,85,51
13,14,863,39,98,30
14,15,857,34,109,13
15,16,850,31,119,4
16,17,848,27,125,0
17,18,848,25,127,10
18,19,842,19,139,10
19,20,837,18,145,10
20,21,830,21,149,8
21,22,824,24,152,41
22,23,817,24,159,42
23,24,810,28,162,25
24,25,804,31,165,10
25,26,799,32,169,30
26,27,793,29,178,12
27,28,789,28,183,7
28,29,786,26,188,5
29,30,783,19,198,14
30,31,776,21,203,10
31,32,772,23,205,8
32,33,768,18,214,11
33,34,762,22,216,14
34,35,757,25,218,10
35,36,751,23,226,9
36,37,746,22,232,6
37,38,742,23,235,4
38,39,740,20,240,14
39,40,735,18,247,6
40,41,732,17,251,17
41,42,724,19,257,4
42,43,721,19,260,2
43,44,719,17,264,0
44,45,719,15,266,0
45,46,719,6,275,3
46,47,716,6,278,0
47,48,716,5,279,0
48,49,716,4,280,2
49,50,714,4,282,0
50,51,714,2,284,0
51,52,714,2,284,0
52,53,714,1,285,0
53,54,714,0,286,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,19
4,5,980,20,0,28
5,6,966,33,1,94
6,7,956,43,1,30
7,8,945,46,9,38
8,9,935,46,19,54
9,10,929,41,30,48
10,11,920,42,38,51
11,12,907,44,49,18
12,13,900,43,57,14
13,14,895,41,64,15
14,15,892,37,71,27
15,16,885,30,85,28
16,17,874,31,95,73
17,18,860,42,98,20
18,19,854,42,104,66
19,20,845,42,113,4
20,21,844,32,124,13
21,22,840,25,135,6
22,23,836,17,147,10
23,24,827,22,151,21
24,25,822,21,157,6
25,26,818,23,159,30
26,27,806,30,164,29
27,28,797,36,167,18
28,29,790,36,174,14
29,30,783,38,179,8
30,31,778,36,186,11
31,32,775,26,199,28
32,33,769,22,209,13
33,34,765,21,214,8
34,35,761,23,216,10
35,36,756,17,227,10
36,37,752,20,228,21
37,38,747,21,232,4
38,39,745,18,237,4
39,40,743,15,242,6
40,41,738,13,249,15
41,42,731,19,250,16
42,43,727,20,253,4
43,44,726,21,253,0
44,45,726,16,258,4
45,46,724,11,265,0
46,47,724,7,269,4
47,48,722,9,269,10
48,49,717,12,271,7
49,50,712,15,273,8
50,51,704,22,274,20
51,52,698,26,276,20
52,53,695,27,278,16
53,54,691,20,289,25
54,55,685,20,295,8
55,56,681,20,299,20
56,57,676,23,301,16
57,58,672,21,307,22
58,59,668,21,311,18
59,60,661,23,316,14
60,61,658,21,321,4
61,62,656,16,328,11
62,63,651,17,332,7
