,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,33
1,2,993,7,0,88
2,3,972,28,0,193
3,4,952,48,0,285
4,5,924,72,4,328
5,6,908,82,10,285
6,7,893,84,23,354
7,8,870,87,43,139
8,9,860,74,66,198
9,10,850,70,80,94
10,11,842,58,100,104
11,12,832,54,114,176
12,13,820,49,131,91
13,14,809,49,142,75
14,15,799,48,153,27
15,16,796,41,163,60
16,17,788,38,174,34
17,18,783,33,184,27
18,19,778,31,191,13
19,20,776,20,204,56
20,21,767,26,207,46
21,22,762,25,213,25
22,23,757,27,216,12
23,24,753,27,220,11
24,25,750,19,231,21
25,26,747,18,235,17
26,27,745,15,240,19
27,28,741,16,243,31
28,29,736,15,249,18
29,30,735,14,251,22
30,31,732,13,255,22
31,32,729,12,259,17
32,33,725,13,262,11
33,34,723,13,264,3
34,35,723,8,269,16
35,36,720,9,271,16
36,37,717,9,274,4
37,38,716,10,274,6
38,39,715,8,277,9
39,40,712,8,280,14
40,41,708,9,283,26
41,42,697,20,283,72
42,43,688,28,284,47
43,44,680,34,286,72
44,45,671,38,291,31
45,46,666,33,301,41
46,47,660,36,304,31
47,48,657,28,315,16
48,49,654,24,322,23
49,50,651,16,333,15
50,51,647,16,337,8
51,52,646,14,340,27
52,53,642,15,343,53
53,54,633,21,346,37
54,55,629,21,350,31
55,56,624,22,354,8
56,57,622,17,361,23
57,58,618,17,365,16
58,59,615,15,370,6
59,60,612,16,372,22
60,61,608,17,375,25
61,62,605,17,378,9
62,63,604,16,380,10
63,64,600,17,383,24
64,65,595,16,389,9
65,66,592,16,392,2
66,67,592,13,395,3
67,68,592,11,397,9
68,69,591,7,402,9
69,70,588,9,403,16
70,71,586,8,406,12
71,72,582,12,406,11
72,73,579,14,407,36
73,74,571,20,409,15
74,75,569,17,414,14
75,76,566,15,419,4
76,77,565,14,421,16
77,78,561,16,423,14
78,79,558,16,426,2
79,80,558,13,429,8
80,81,556,10,434,13
81,82,553,10,437,0
82,83,553,8,439,5
83,84,551,8,441,5
84,85,548,9,443,4
85,86,547,8,445,4
86,87,546,7,447,12
87,88,543,8,449,1
88,89,543,6,451,0
89,90,543,5,452,5
90,91,543,3,454,7
91,92,540,4,456,5
92,93,539,4,457,9
93,94,536,7,457,17
94,95,532,9,459,16
95,96,527,12,461,35
96,97,523,15,462,20
97,98,519,17,464,5
98,99,517,14,469,2
99,100,516,14,470,12
100,101,514,12,474,3
101,102,513,8,479,10
102,103,512,6,482,13
103,104,507,10,483,10
104,105,504,11,485,20
105,106,501,12,487,4
106,107,500,11,489,20
107,108,495,13,492,6
108,109,494,10,496,16
109,110,492,11,497,17
110,111,487,14,499,17
111,112,483,14,503,7
112,113,482,14,504,7
113,114,481,13,506,4
114,115,481,10,509,21
115,116,475,12,513,6
116,117,473,10,517,0
117,118,473,9,518,4
118,119,471,10,519,9
119,120,469,10,521,15
120,121,465,11,524,30
121,122,460,13,527,28
122,123,456,15,529,11
123,124,454,16,530,6
124,125,453,15,532,23
125,126,450,14,536,15
126,127,447,13,540,8
127,128,445,10,545,1
128,129,445,8,547,6
129,130,443,8,549,12
130,131,440,9,551,2
131,132,440,8,552,13
132,133,437,9,554,14
133,134,435,9,556,8
134,135,434,8,558,17
135,136,430,11,559,10
136,137,428,9,563,5
137,138,427,9,564,4
138,139,426,10,564,14
139,140,423,8,569,0
140,141,423,8,569,10
