,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,18
4,5,992,7,1,0
5,6,992,7,1,14
6,7,988,11,1,32
7,8,982,17,1,90
8,9,960,36,4,49
9,10,951,43,6,39
10,11,946,45,9,126
11,12,929,53,18,77
12,13,917,56,27,49
13,14,910,51,39,42
14,15,902,47,51,42
15,16,892,49,59,26
16,17,886,41,73,35
17,18,880,40,80,37
18,19,873,34,93,33
19,20,866,34,100,39
20,21,858,35,107,26
21,22,850,37,113,0
22,23,850,28,122,10
23,24,844,23,133,70
24,25,836,23,141,11
25,26,833,20,147,15
26,27,829,22,149,18
27,28,825,19,156,10
28,29,825,18,157,15
29,30,821,17,162,3
30,31,820,14,166,12
31,32,818,12,170,0
32,33,818,6,176,0
33,34,818,6,176,0
34,35,818,4,178,0
35,36,818,2,180,0
36,37,818,2,180,0
37,38,818,2,180,0
38,39,818,0,182,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,14
2,3,998,2,0,0
3,4,998,2,0,4
4,5,997,2,1,0
5,6,997,2,1,0
6,7,997,1,2,0
7,8,997,1,2,0
8,9,997,1,2,0
9,10,997,1,2,0
10,11,997,0,3,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,22
2,3,990,10,0,68
3,4,979,20,1,40
4,5,970,29,1,67
5,6,958,40,2,79
6,7,947,44,9,109
7,8,932,54,14,136
8,9,916,62,22,33
9,10,911,54,35,56
10,11,905,49,46,71
11,12,896,43,61,40
12,13,886,45,69,44
13,14,879,42,79,6
14,15,878,30,92,24
15,16,872,28,100,13
16,17,870,14,116,4
17,18,870,12,118,9
18,19,867,14,119,15
19,20,863,13,124,29
20,21,856,18,126,39
21,22,850,22,128,24
22,23,847,22,131,25
23,24,840,25,135,26
24,25,835,23,142,20
25,26,829,24,147,25
26,27,823,27,150,18
27,28,818,23,159,14
28,29,813,23,164,30
29,30,809,20,171,30
30,31,802,21,177,18
31,32,797,22,181,4
