,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,21
1,2,994,6,0,0
2,3,994,6,0,13
3,4,993,6,1,38
4,5,983,16,1,21
5,6,981,16,3,101
6,7,965,31,4,66
7,8,958,33,9,65
8,9,949,40,11,72
9,10,944,36,20,28
10,11,937,36,27,107
11,12,923,41,36,133
12,13,910,48,42,66
13,14,902,48,50,53
14,15,896,42,62,82
15,16,885,43,72,78
16,17,877,44,79,78
17,18,869,42,89,71
18,19,860,41,99,55
19,20,852,41,107,38
20,21,848,36,116,18
21,22,845,24,131,22
22,23,843,16,141,0
23,24,843,16,141,27
24,25,839,14,147,9
25,26,838,11,151,2
26,27,838,8,154,1
27,28,838,4,158,0
28,29,838,3,159,0
29,30,838,2,160,0
30,31,838,2,160,0
31,32,838,2,160,0
32,33,838,1,161,0
33,34,838,0,162,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,16
2,3,996,4,0,11
3,4,994,5,1,0
4,5,994,5,1,0
5,6,994,4,2,0
6,7,994,2,4,0
7,8,994,1,5,0
8,9,994,0,6,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,21
4,5,994,6,0,16
5,6,990,10,0,0
6,7,990,9,1,75
7,8,979,19,2,38
8,9,971,21,8,37
9,10,964,27,9,26
10,11,957,32,11,75
11,12,943,36,21,12
12,13,942,34,24,19
13,14,940,29,31,77
14,15,932,26,42,38
15,16,926,25,49,14
16,17,923,23,54,27
17,18,916,26,58,80
18,19,905,28,67,26
19,20,900,28,72,57
20,21,892,32,76,13
21,22,890,25,85,20
22,23,888,23,89,10
23,24,885,21,94,19
24,25,882,17,101,13
25,26,878,16,106,21
26,27,875,16,109,0
27,28,875,11,114,0
28,29,875,8,117,13
29,30,871,8,121,24
30,31,867,12,121,18
31,32,864,12,124,0
32,33,864,9,127,0
33,34,864,6,130,13
34,35,863,4,133,13
35,36,860,7,133,48
36,37,849,18,133,29
37,38,844,21,135,29
38,39,841,22,137,15
