,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,1,0,0
8,9,999,1,0,0
9,10,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,57
3,4,988,12,0,248
4,5,954,45,1,543
5,6,919,80,1,699
6,7,898,98,4,584
7,8,879,102,19,669
8,9,859,96,45,295
9,10,845,85,70,272
10,11,830,78,92,217
11,12,819,70,111,107
12,13,810,63,127,86
13,14,805,53,142,47
14,15,802,37,161,35
15,16,799,28,173,28
16,17,795,21,184,30
17,18,788,20,192,30
18,19,784,21,195,108
19,20,777,22,201,66
20,21,769,26,205,57
21,22,764,29,207,52
22,23,757,32,211,39
23,24,753,29,218,79
24,25,745,28,227,39
25,26,742,21,237,47
26,27,735,21,244,50
27,28,729,22,249,26
28,29,726,23,251,49
29,30,720,24,256,63
30,31,713,26,261,140
31,32,702,31,267,111
32,33,694,33,273,37
33,34,690,34,276,49
34,35,685,31,284,37
35,36,680,29,291,52
36,37,676,29,295,47
37,38,670,22,308,19
38,39,670,17,313,25
39,40,666,16,318,25
40,41,661,18,321,31
41,42,656,18,326,56
42,43,649,24,327,47
43,44,644,25,331,53
44,45,639,26,335,57
45,46,634,29,337,34
46,47,631,25,344,53
47,48,629,15,356,17
48,49,625,16,359,11
49,50,623,13,364,8
50,51,622,10,368,9
51,52,619,11,370,4
52,53,618,8,374,8
53,54,618,4,378,13
54,55,616,6,378,5
55,56,615,4,381,7
56,57,614,5,381,8
57,58,612,7,381,4
58,59,611,8,381,21
59,60,606,9,385,25
60,61,603,10,387,10
61,62,602,10,388,34
62,63,597,14,389,13
63,64,594,13,393,10
64,65,592,12,396,17
65,66,590,14,396,32
66,67,584,15,401,20
67,68,581,14,405,21
68,69,576,19,405,26
69,70,572,19,409,14
70,71,570,17,413,10
71,72,568,12,420,25
72,73,566,11,423,0
73,74,566,7,427,0
74,75,566,6,428,0
75,76,566,2,432,4
76,77,564,2,434,0
77,78,564,2,434,0
78,79,564,2,434,0
79,80,564,1,435,0
80,81,564,1,435,0
81,82,564,0,436,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
