,Step,Susceptible,Infected,Recovered,Encounters
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,45
2,3,981,19,0,176
3,4,951,48,1,142
4,5,934,65,1,401
5,6,911,82,7,317
6,7,896,80,24,102
7,8,888,67,45,115
8,9,876,65,59,315
9,10,854,70,76,224
10,11,841,68,91,229
11,12,828,72,100,91
12,13,819,59,122,40
13,14,811,53,136,138
14,15,798,54,148,109
15,16,789,47,164,64
16,17,782,42,176,40
17,18,777,39,184,143
18,19,758,48,194,29
19,20,755,39,206,46
20,21,748,36,216,54
21,22,740,33,227,42
22,23,733,34,233,47
23,24,723,35,242,22
24,25,718,34,248,26
25,26,714,34,252,11
26,27,711,23,266,37
27,28,705,20,275,19
28,29,701,20,279,5
29,30,699,16,285,5
30,31,698,13,289,7
31,32,695,15,290,14
32,33,691,15,294,20
33,34,686,17,297,14
34,35,683,16,301,26
35,36,677,17,306,37
36,37,671,22,307,2
37,38,670,21,309,18
38,39,666,23,311,2
39,40,665,14,321,27
40,41,657,16,327,0
41,42,657,12,331,3
42,43,656,11,333,4
43,44,655,8,337,4
44,45,654,4,342,7
45,46,649,9,342,23
46,47,641,16,343,16
47,48,637,18,345,21
48,49,632,20,348,25
49,50,627,22,351,11
50,51,623,24,353,14
51,52,621,18,361,47
52,53,613,23,364,28
53,54,607,26,367,49
54,55,601,25,374,20
55,56,597,27,376,11
56,57,595,21,384,30
57,58,588,23,389,23
58,59,581,23,396,24
59,60,577,22,401,12
60,61,573,21,406,0
61,62,573,16,411,18
62,63,570,14,416,4
63,64,568,13,419,4
64,65,567,10,423,2
65,66,566,7,427,4
66,67,562,9,429,14
67,68,559,9,432,18
68,69,556,12,432,12
69,70,552,11,437,8
70,71,551,12,437,28
71,72,545,15,440,24
72,73,540,15,445,34
73,74,534,20,446,10
74,75,532,18,450,30
75,76,524,24,452,7
76,77,522,21,457,10
77,78,517,20,463,7
78,79,515,18,467,3
79,80,513,16,471,7
80,81,511,13,476,10
81,82,507,12,481,5
82,83,505,11,484,2
83,84,504,9,487,2
84,85,503,6,491,10
85,86,499,9,492,1
86,87,499,6,495,0
87,88,499,6,495,0
88,89,499,5,496,0
89,90,499,3,498,4
90,91,498,3,499,1
91,92,497,2,501,4
92,93,494,5,501,3
93,94,491,8,501,4
94,95,489,9,502,13
95,96,485,12,503,12
96,97,479,16,505,9
97,98,476,16,508,15
98,99,473,16,511,12
99,100,471,18,511,25
100,101,466,17,517,31
101,102,462,17,521,4
102,103,461,14,525,8
103,104,457,16,527,0
104,105,457,12,531,14
105,106,454,11,535,4
106,107,452,9,539,3
107,108,449,9,542,0
108,109,449,7,544,1
109,110,448,6,546,0
110,111,448,5,547,0
111,112,448,4,548,0
112,113,448,3,549,0
113,114,448,2,550,0
114,115,448,0,552,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,0,1,0
0,1,999,1,0,0
1,2,999,1,0,0
2,3,999,1,0,0
3,4,999,1,0,0
4,5,999,1,0,0
5,6,999,1,0,0
6,7,999,1,0,0
7,8,999,1,0,0
8,9,999,0,1,0
0,1,999,1,0,32
1,2,985,15,0,151
2,3,953,47,0,328
3,4,933,67,0,369
4,5,910,85,5,443
5,6,886,99,15,330
6,7,871,86,43,208
7,8,857,83,60,166
8,9,847,67,86,144
9,10,836,57,107,89
10,11,826,55,119,168
11,12,815,53,132,54
12,13,808,44,148,94
13,14,796,43,161,150
14,15,781,49,170,37
15,16,776,47,177,51
16,17,772,43,185,47
17,18,766,27,207,27
